"類型
Type","觀光遊憩區
Scenic Spots","縣市
City/Country","113年
1月","113年
2月","113年
3月","113年
4月","113年
5月","113年
6月","113年
7月","113年
8月","113年
9月","113年
10月","113年
11月","113年
12月","113年
1月-12月",資料來源
"國家公園
National Parks","陽明山國家公園
Yangmingshan National Park",,,,,,,,,,,,,,, 
"國家公園
National Parks","    陽明山遊客中心
    Yangmingshan Visitor Center","臺北市
Taipei City","65,763 ","62,937 ","67,658 ","47,400 ","56,719 ","60,705 ","63,120 ","62,988 ","51,636 ","44,061 ","48,573 ","51,078 ","682,638 ",陽明山國家公園管理處
"國家公園
National Parks","    陽明書屋
    Yangmingshuwu","臺北市
Taipei City","7,216 ","8,545 ","6,408 ","5,844 ","5,661 ","5,833 ","5,725 ","6,147 ","5,113 ","4,448 ","5,891 ","6,044 ","72,875 ",陽明山國家公園管理處
"國家公園
National Parks","    陽明公園
    Yangming Park","臺北市
Taipei City","455,533 ","638,718 ","738,390 ","569,279 ","590,482 ","560,933 ","468,844 ","497,233 ","488,439 ","530,380 ","460,048 ","438,323 ","6,436,602 ",臺北市政府
"國家公園
National Parks","    大屯遊憩區
    Datun Recreation Area","臺北市
Taipei City","81,743 ","32,314 ","24,831 ","23,518 ","22,152 ","28,271 ","26,533 ","26,325 ","24,059 ","18,739 ","18,173 ","19,543 ","346,201 ",陽明山國家公園管理處
"國家公園
National Parks","    龍鳳谷遊憩區
    Longfonggu Recreation Area","臺北市
Taipei City","27,904 ","36,694 ","33,227 ","35,721 ","21,458 ","23,278 ","15,541 ","21,277 ","19,218 ","19,673 ","28,424 ","29,772 ","312,187 ",陽明山國家公園管理處
"國家公園
National Parks","    小油坑遊憩區
    Xiaoyoukeng Recration Area","臺北市
Taipei City","38,688 ","37,214 ","40,313 ","39,833 ","41,043 ","42,673 ","41,426 ","49,809 ","34,639 ","23,256 ","33,017 ","43,472 ","465,383 ",陽明山國家公園管理處
"國家公園
National Parks","    冷水坑
    Lengshuikeng","臺北市
Taipei City","51,767 ","49,536 ","51,485 ","44,234 ","49,467 ","43,699 ","60,279 ","66,733 ","48,001 ","52,831 ","73,867 ","63,077 ","654,976 ",陽明山國家公園管理處
"國家公園
National Parks","    擎天崗
    Qingtiangang","臺北市
Taipei City","52,885 ","54,299 ","56,170 ","46,006 ","57,321 ","48,851 ","59,796 ","57,214 ","47,362 ","49,351 ","50,616 ","58,532 ","638,403 ",陽明山國家公園管理處
"國家公園
National Parks","玉山國家公園
Yushan National Park",,,,,,,,,,,,,,,
"國家公園
National Parks","    塔塔加遊憩區
    Tataka Recreation Area","南投縣
Nantou County","52,580 ","54,858 ","48,755 ","31,761 ","35,999 ","45,183 ","51,639 ","36,391 ","43,547 ","47,729 ","45,261 ","52,550 ","546,253 ",玉山國家公園管理處
"國家公園
National Parks","    玉山管理處遊客服務中心
    Headquarters Visitor Center","南投縣
Nantou County","5,000 ","7,386 ","5,594 ","3,798 ","2,771 ","6,502 ","4,578 ","1,659 ","1,779 ","3,210 ","3,459 ","2,753 ","48,489 ",玉山國家公園管理處
"國家公園
National Parks","    排雲山莊
    Paiyun Lodge","嘉義縣
Chiayi County","2,629 ","2,786 ","3,856 ","2,727 ","3,704 ","3,786 ","4,010 ","4,413 ","4,547 ","4,403 ","4,441 ","4,410 ","45,712 ",玉山國家公園管理處
"國家公園
National Parks","    梅山遊客中心
    Meishan Visitor Center","高雄市
Kaohsiung City","82,705 ","106,584 ","81,475 ","43,989 ","43,893 ","44,125 ","45,727 ","6,524 ","5,186 ","11,655 ","12,260 ","57,664 ","541,787 ",玉山國家公園管理處
"國家公園
National Parks","    南安遊客中心
    Nanan Visitor Center","花蓮縣
Hualien County","17,913 ","20,595 ","18,870 ","13,135 ","13,588 ","18,413 ","20,450 ","19,550 ","18,149 ","16,801 ","16,276 ","16,020 ","209,760 ",玉山國家公園管理處
"國家公園
National Parks","雪霸國家公園
Shei-pa National Park",,,,,,,,,,,,,,,
"國家公園
National Parks","    汶水遊客中心
    Wenshui Visitor Center","苗栗縣
Miaoli County","30,890 ","30,814 ","35,377 ","33,891 ","31,534 ","28,490 ","22,022 ","21,107 ","28,358 ","28,587 ","29,723 ","19,810 ","340,603 ",雪霸國家公園管理處
"國家公園
National Parks","    觀霧遊客中心
    Guanwu Visitor Center","苗栗縣
Miaoli County","5,546 ","6,430 ","10,208 ","5,199 ","5,663 ","7,821 ","10,545 ","9,293 ","7,730 ","7,048 ","5,732 ","6,550 ","87,765 ",雪霸國家公園管理處
"國家公園
National Parks","    雪見遊憩區
    Xuejian Recreation Area","苗栗縣
Miaoli County","3,560 ","4,926 ","5,375 ","3,217 ","4,035 ","6,741 ","10,132 ","7,835 ","6,680 ","6,361 ","4,824 ","5,777 ","69,463 ",雪霸國家公園管理處
"國家公園
National Parks","墾丁國家公園
Kenting National Park",,,,,,,,,,,,,,,
"國家公園
National Parks","    墾丁國家公園管理處遊客中心
    Kenting National Park Headquarters Visitor Center","屏東縣
Pingtung County","1,256 ","1,174 ",980 ,"1,056 ","1,061 ","1,240 ","1,078 ","1,062 ",642 ,795 ,785 ,980 ,"12,109 ",墾丁國家公園管理處
"國家公園
National Parks","    鵝鑾鼻公園
    Eluanbi Park","屏東縣
Pingtung County","15,371 ","32,321 ","23,565 ","28,497 ","22,485 ","25,610 ","28,517 ","25,575 ","16,830 ","22,978 ","24,950 ","31,741 ","298,440 ",墾丁國家公園管理處
"國家公園
National Parks","    貓鼻頭公園
    Maobitou Park","屏東縣
Pingtung County","7,313 ","14,800 ","15,980 ","18,525 ","16,102 ","17,494 ","13,370 ","8,799 ","11,733 ","17,280 ","17,280 ","20,372 ","179,048 ",墾丁國家公園管理處
"國家公園
National Parks","    佳樂水
    Jialeshuei","屏東縣
Pingtung County","2,581 ","5,169 ","2,696 ","3,627 ","2,277 ","2,628 ","2,224 ","1,865 ","2,140 ","3,061 ",0 ,452 ,"28,720 ",墾丁國家公園管理處
"國家公園
National Parks","    社頂自然公園
    Sheding Nature Park","屏東縣
Pingtung County","6,137 ","8,783 ","6,479 ","7,713 ","6,911 ","6,661 ","4,645 ","4,159 ","5,775 ","6,175 ","5,035 ","5,630 ","74,103 ",墾丁國家公園管理處
"國家公園
National Parks","    南灣遊憩區
    Nanwam Recreation Area","屏東縣
Pingtung County","9,369 ","16,519 ","14,378 ","28,327 ","24,543 ","28,103 ","43,658 ","30,167 ","22,084 ","15,840 ","8,773 ","5,193 ","246,954 ",墾丁國家公園管理處
"國家公園
National Parks","    龍鑾潭自然中心
    Longluan Lake Nature Center","屏東縣
Pingtung County","3,525 ","4,706 ","3,930 ","3,974 ","3,736 ","5,415 ","3,684 ","2,668 ","4,099 ","4,652 ","4,684 ","4,392 ","49,465 ",墾丁國家公園管理處
"國家公園
National Parks","    砂島貝殼砂展示館
    Shadao Shell Beach Exhibition Hall","屏東縣
Pingtung County","7,562 ","11,165 ","8,033 ","10,129 ","8,721 ","9,789 ","12,261 ","11,047 ","8,807 ","7,376 ","7,928 ","10,544 ","113,362 ",墾丁國家公園管理處
"國家公園
National Parks","太魯閣國家公園
Taroko National Park",,,,,,,,,,,,,,,
"國家公園
National Parks","    太魯閣國家公園遊客中心
    Taroko National Park Visitor Center","花蓮縣
Hualien County","32,583 ","35,636 ","33,451 ","2,976 ",687 ,"12,015 ","11,802 ","15,098 ","15,253 ","14,121 ","17,036 ","19,473 ","210,131 ",太魯閣國家公園管理處
"國家公園
National Parks","    布洛灣遊憩區
    Pulowan Recreation Area","花蓮縣
Hualien County","54,245 ","68,139 ","79,112 ","4,457 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"205,953 ",太魯閣國家公園管理處
"國家公園
National Parks","    臺八線沿線景觀區
    Provincial Highway 8 Scenic Area","花蓮縣
Hualien County","210,531 ","301,154 ","262,435 ","64,966 ","74,249 ","55,695 ","75,749 ","67,982 ","49,882 ","52,275 ","51,919 ","62,006 ","1,328,843 ",太魯閣國家公園管理處
"國家公園
National Parks","金門國家公園
Kinmen National",,,,,,,,,,,,,,,
"國家公園
National Parks","    中山林遊客中心
    Jhongshanlin Visitor Center","金門縣
Kinmen County","6,664 ","5,322 ","6,722 ","7,663 ","8,466 ","10,511 ","10,463 ","8,674 ","7,563 ","6,615 ","7,696 ","7,436 ","93,795 ",金門國家公園管理處
"國家公園
National Parks","    翟山坑道
    Jhaishan Tunnel","金門縣
Kinmen County","12,474 ","10,062 ","14,510 ","17,444 ","22,582 ","23,733 ","25,701 ","20,548 ","22,271 ","23,833 ","27,959 ","22,346 ","243,463 ",金門國家公園管理處
"國家公園
National Parks","    雙鯉溼地自然中心
    Shuangli Welands Nature Center","金門縣
Kinmen County","1,817 ","1,912 ","2,575 ","2,982 ","3,390 ","4,121 ","4,018 ","3,275 ","3,054 ","3,080 ","3,342 ","2,605 ","36,171 ",金門國家公園管理處
"國家公園
National Parks","    古寧頭戰史館
    Guniungtou War Museum","金門縣
Kinmen County",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,459 ","10,612 ","7,917 ","28,988 ",金門國家公園管理處
"國家公園
National Parks","    九宮(四維)坑道
    Jiougong(Sih-Wei)Tunnel","金門縣
Kinmen County","5,966 ","5,666 ","9,560 ","12,050 ","15,021 ","15,553 ","16,901 ","13,244 ","14,495 ","18,053 ","14,556 ","9,659 ","150,724 ",金門國家公園管理處
"國家公園
National Parks","    八二三砲戰紀念館
    Auguest 23rd Bombardment Memorial Hall","金門縣
Kinmen County","5,613 ","4,395 ","6,134 ","6,310 ","6,701 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"29,153 ",金門國家公園管理處
"國家公園
National Parks","    湖井頭戰史館
    Hujingtou Battle Museum","金門縣
Kinmen County","6,347 ","6,047 ","8,103 ","9,879 ","13,146 ","13,961 ","13,166 ","11,933 ","14,227 ","15,021 ","12,873 ","8,632 ","133,335 ",金門國家公園管理處
"國家公園
National Parks","    金水學校
    Jinshuei Elementary School","金門縣
Kinmen County","3,432 ","3,589 ","4,512 ","4,768 ","5,848 ","5,627 ","6,093 ","5,200 ","5,209 ","8,105 ","9,816 ","9,217 ","71,416 ",金門國家公園管理處
"國家公園
National Parks","    蔣經國先生紀念館
    Chiang Ching-Kuo Memorial Hall","金門縣
Kinmen County","4,788 ","3,853 ","4,931 ","5,561 ","5,408 ","5,549 ","6,369 ","6,327 ","5,069 ","4,776 ","6,985 ","5,567 ","65,183 ",金門國家公園管理處
"國家公園
National Parks","    民俗文化村
    Shanhou Folk Cultural Village","金門縣
Kinmen County","9,236 ","7,867 ","10,317 ","13,492 ","15,385 ","15,108 ","15,471 ","11,839 ","14,356 ","17,792 ","19,180 ","14,801 ","164,844 ",金門國家公園管理處
"國家公園
National Parks","    得月樓
    Deyue Tower","金門縣
Kinmen County","5,372 ","4,831 ","6,484 ","7,271 ","8,704 ","8,020 ","8,883 ","7,723 ","7,361 ","10,646 ","12,466 ","11,174 ","98,935 ",金門國家公園管理處
"國家公園
National Parks","壽山園區
Shoushan Recreation Area","高雄市
Kaohsiung City","183,622 ","179,626 ","183,546 ","165,943 ","158,436 ","136,936 ","133,911 ","116,426 ","134,120 ","177,221 ","137,760 ","149,208 ","1,856,755 ",內政部國家公園署國家自然公園管理處
"國家公園
National Parks","半屏山園區
Banpingshan Recreation Area","高雄市
Kaohsiung City","19,742 ","15,989 ","10,124 ",0 ,0 ,0 ,"18,574 ","10,174 ","11,012 ","17,836 ","11,531 ","7,076 ","122,058 ",內政部國家公園署國家自然公園管理處
"國家公園
National Parks","龜山園區
Guishan Recreation Area","高雄市
Kaohsiung City","28,182 ","49,033 ","30,670 ","40,103 ","33,767 ","25,461 ","20,339 ","18,051 ","15,749 ","48,254 ","22,381 ","29,393 ","361,383 ",內政部國家公園署國家自然公園管理處
"國家公園
National Parks","旗後山園區
Qihoushan Recreation Area","高雄市
Kaohsiung City","2,056 ","26,311 ","26,694 ","24,866 ","21,955 ","15,374 ","16,460 ","18,273 ","13,179 ","6,665 ","12,703 ","14,307 ","198,843 ",內政部國家公園署國家自然公園管理處
"國家級風景特定區
National Scenic Areas","東北角及宜蘭海岸國家風景區
Northeast and Yilan Coast National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    鼻頭龍洞遊憩區
    Bitou Longdong Recreation Area","新北市
New Taipei City","12,266 ","13,522 ","13,073 ","13,112 ","16,072 ","23,512 ","30,810 ","38,345 ","23,277 ","17,770 ","19,697 ","16,885 ","238,341 ",東北角及宜蘭海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","    鹽寮福隆遊憩區
    Yanliao Fulong Recreation Area","新北市
New Taipei City","17,665 ","35,507 ","33,437 ","95,281 ","80,816 ","110,972 ","141,799 ","134,547 ","104,514 ","101,185 ","95,013 ","65,084 ","1,015,820 ",東北角及宜蘭海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","    大里外澳遊憩區
    Dali Waiao Recreation Area","宜蘭縣
Yilan County","101,063 ","127,384 ","118,990 ","130,827 ","125,634 ","136,029 ","123,841 ","122,353 ","123,158 ","125,650 ","233,700 ","123,439 ","1,592,068 ",東北角及宜蘭海岸國家風景區管理處
